experiment,dice_rc_0,dice_rc_1,dice_rc_2,dice_rs3_0,dice_rs3_1,dice_rs3_2,dice_rs5_0,dice_rs5_1,dice_rs5_2,dice_cp_0,dice_cp_1,dice_cp_2,dice_bb_0,dice_bb_1,dice_bb_2,dice_bbs_05_0,dice_bbs_05_1,dice_bbs_05_2,dice_bbs_1_0,dice_bbs_1_1,dice_bbs_1_2,dice_bbs_2_0,dice_bbs_2_1,dice_bbs_2_2
mamo_US_vit-b,0.196966603398323,0.6046241521835327,0.5361946821212769,0.1807963252067566,0.6823792457580566,0.7703806757926941,0.2144994884729385,0.693465530872345,0.8054317235946655,0.2022060751914978,0.633774995803833,0.5619602799415588,0.8835357427597046,0.8324651718139648,0.7253413796424866,0.8792826533317566,0.8276634216308594,0.7159063220024109,0.8668151497840881,0.8157410025596619,0.6865771412849426,0.8231494426727295,0.7614098787307739,0.5726696848869324
HAM_vit-h,0.5278487801551819,0.684687614440918,0.4069120585918426,0.7557525634765625,0.7676844000816345,0.4417096972465515,0.7656260132789612,0.7846760153770447,0.5392070412635803,0.5435587167739868,0.728905975818634,0.4202942550182342,0.7315645813941956,0.8380082249641418,0.864681601524353,0.7252757549285889,0.8344600200653076,0.8609064817428589,0.7000378370285034,0.8246158957481384,0.8502684235572815,0.5875927805900574,0.7788098454475403,0.8094639182090759
CXRkaggle_vit-h,0.8664221167564392,0.7228332757949829,0.4685726463794708,0.9236304759979248,0.7677826285362244,0.482906699180603,0.9264854788780212,0.8286195397377014,0.5145106911659241,0.9042090773582458,0.758375346660614,0.4711894989013672,0.9357202649116516,0.9415687322616576,0.935291826725006,0.93445485830307,0.938986837863922,0.9300447702407836,0.9115186333656312,0.9289682507514954,0.9134599566459656,0.674231767654419,0.8175305724143982,0.7981196045875549
HAM_vit-l,0.6890351176261902,0.5191099047660828,0.4148910939693451,0.7221716046333313,0.7653530240058899,0.4049896001815796,0.7192481756210327,0.7949049472808838,0.4081357419490814,0.7312806248664856,0.5221402645111084,0.4349724948406219,0.85890132188797,0.7656304836273193,0.8300842642784119,0.8561090230941772,0.7609778046607971,0.8242307305335999,0.8457736372947693,0.7398267984390259,0.8034268617630005,0.7989689707756042,0.622073233127594,0.6988354325294495
mamo_US_vit-h,0.5600969195365906,0.6185109615325928,0.1868151128292083,0.7381292581558228,0.6876764297485352,0.194531962275505,0.7610411643981934,0.7376112937927246,0.2513314187526703,0.5832170844078064,0.6409646272659302,0.1917008608579635,0.7537636160850525,0.8397032022476196,0.8625803589820862,0.7419589757919312,0.8369678258895874,0.8598483800888062,0.7207509875297546,0.8258592486381531,0.8481332063674927,0.6219313144683838,0.7708281874656677,0.806307315826416
HAM_vit-b,0.401399165391922,0.6102469563484192,0.4300227761268616,0.3999555706977844,0.6815215945243835,0.7474387288093567,0.4258960783481598,0.6827172636985779,0.7733818888664246,0.4142128229141235,0.6587379574775696,0.4779983758926391,0.863312840461731,0.8101258277893066,0.6186195611953735,0.8588193655014038,0.8068289160728455,0.6108466386795044,0.8460630178451538,0.7940282821655273,0.58095383644104,0.7980737686157227,0.7387338280677795,0.467724084854126
ISIC_vit-h,0.5396445989608765,0.6801033020019531,0.3605874478816986,0.7614876627922058,0.7699928879737854,0.3898747265338897,0.774933934211731,0.7902505397796631,0.4848164916038513,0.5380199551582336,0.7182517051696777,0.3749458789825439,0.7445520162582397,0.8450186252593994,0.8720705509185791,0.7353417277336121,0.8403056859970093,0.8678382635116577,0.7115688920021057,0.8339584469795227,0.859741747379303,0.6049346923828125,0.7870813608169556,0.81632000207901
CXRkaggle_vit-l,0.8148486614227295,0.8710146546363831,0.4714007377624511,0.7914941906929016,0.9293529987335204,0.4681615829467773,0.7816281914710999,0.9281600713729858,0.4738873243331909,0.8344913125038147,0.914546012878418,0.4722687900066376,0.9317179322242736,0.9401360154151917,0.9454002380371094,0.929456353187561,0.9368105530738832,0.94345623254776,0.9151227474212646,0.9094339609146118,0.9271212220191956,0.8102816939353943,0.6635132431983948,0.7579923868179321
ISIC_vit-b,0.3546895086765289,0.6219617128372192,0.4920638501644134,0.3548406064510345,0.6917893886566162,0.7653682827949524,0.3736572861671448,0.698099672794342,0.7896720767021179,0.366474837064743,0.665074348449707,0.5036219954490662,0.8699659109115601,0.8251161575317383,0.6395716667175293,0.8661378026008606,0.8208398818969727,0.6300575137138367,0.8537213206291199,0.8057388067245483,0.5987717509269714,0.812102735042572,0.7544107437133789,0.5026227235794067
mamo_US_vit-l,0.6355458498001099,0.5420125722885132,0.2028068602085113,0.6638880968093872,0.7447437047958374,0.2037754654884338,0.6705948114395142,0.7782526612281799,0.266816645860672,0.6557611227035522,0.5669965744018555,0.2279635965824127,0.8655989766120911,0.781602144241333,0.8485706448554993,0.8630808591842651,0.7757196426391602,0.84525066614151,0.8543184399604797,0.7490187883377075,0.829958975315094,0.7979862689971924,0.6500468850135803,0.7560073137283325
CXRkaggle_vit-b,0.4590023756027221,0.7815178036689758,0.8243248462677002,0.4672195315361023,0.7906922698020935,0.9258355498313904,0.496022880077362,0.8075530529022217,0.9325247406959534,0.459316611289978,0.8043044805526733,0.8818132281303406,0.9164926409721376,0.9367777109146118,0.9161005020141602,0.9100465178489684,0.9345306754112244,0.8957911133766174,0.8953298926353455,0.92193865776062,0.8177284002304077,0.8016769289970398,0.8006485104560852,0.5311428904533386
ISIC_vit-l,0.6662511229515076,0.5161307454109192,0.3652810752391815,0.7012479305267334,0.7684965133666992,0.3587375283241272,0.7009872198104858,0.7926169037818909,0.3632754981517792,0.704208254814148,0.5178175568580627,0.3817358911037445,0.8641121983528137,0.763131856918335,0.8413333296775818,0.86146080493927,0.7561337351799011,0.8362181186676025,0.8493596315383911,0.7298569679260254,0.8181678652763367,0.8023321032524109,0.6165744662284851,0.7277819514274597
